Comment,Designator,Footprint,LCSC Part #
,M.2-M1,M.2-M-KEY,
0R,R15 R21 R22 R29 R30 R31,R0201,
1K,R6 R9 R10 R16,R0201,
1uF,C32,C0402,
4.7uF,C21 C30 C31,C0402,
4.7uF/16V,C6,0201,
10K,R5 R8,R0201,
12MHz,X1,WE-XTAL_CFPX-180,
15pF,C28 C29,0201,
22R,R32 R33,R0201,
25K,R1,SMD_TRIMMER,
100nF,C7 C11 C23 C25 C26,0201,
100nF/16V,C3 C5,0201,
CAT24C512HU5IGT3,IC1,SON50P300X200X50-9T130X140N,
CHIP-FLAT-B_0402,TX,LEDC1005X25N_FLAT-B,
CHIP-FLAT-G_0402,DETECT RX,LEDC1005X25N_FLAT-G,
DNI,R7 R12 R13 R14,R0201,
FT232RNQ,IC7,QFN32,
MIC5504-3.3YM5-TR,IC6,SOT23-5,
PI3USB102J,IC2,QFN40P120X140X35-10N,
RP-2040,IC4,QFN56,
W25Q128JVCIQ TR,IC3,BGA24C100P4X6_800X600X120N,
,M.2-M1,M.2-M-KEY,
0R,R3 R4,R0201,
4.7K,R2,R0201,
10K,R23 R24,R0201,
10uF,C1 C2,0805,
12K,R27,R0201,
22K,R28,R0201,
100nF,C8 C9 C10 C12 C13 C14 C15 C16 C17 C18 C19 C20 C22 C24 C27,0201,
100nF/16V,C4,0201,
AP7335-WG-7,IC8,SOT23-5,
LM4040BXX,REF1,SOT23,
MCP6001R,IC5,SOT23-5,
